Re 10 kHz,Im 10 kHz
-26.327433628318573,-21.293805309734537
-23.451327433628308,-21.3053097345133
-28.318584070796447,-20.38584070796462
-32.07964601769912,-18.870796460177004
-9.734513274336251,-18.360176991150468
-7.743362831858406,-18.668141592920378
-14.15929203539821,-23.14247787610622
-19.911504424778755,-21.119469026548693
-17.25663716814158,-21.130088495575244
-20.132743362831846,-25.818584070796483
-21.23893805309733,-27.31415929203542
-19.026548672566364,-29.423008849557547
-15.265486725663706,-30.338053097345153
-12.168141592920335,-30.550442477876132
-16.814159292035384,-42.831858407079665
-52.87610619469025,-44.68761061946904
-51.991150442477874,-31.99115044247789
-37.610619469026545,-30.248672566371695
-34.292035398230084,-29.261946902654884
-31.858407079646,-27.771681415929223
-26.106194690265482,-22.79469026548675
-72.56637168141592,6.291150442477857
-48.8938053097345,3.5964601769911297
-46.01769911504425,4.684955752212364
-42.035398230088504,3.2690265486725494
-38.49557522123892,4.654867256637143
-36.50442477876106,3.9469026548672304
-32.30088495575221,3.9300884955751982
-30.530973451327426,3.523008849557499
-25,3.4008849557521827
-29.424778761061944,1.1185840707964374
-39.60176991150442,1.6592920353982095
-30.530973451327426,-2.2769911504424982
-36.28318584070796,-2.253982300884978
-38.27433628318583,-3.346017699115066
-34.513274336283175,-4.86106194690268
-34.513274336283175,-3.9610619469026815
-37.610619469026545,-4.0486725663717
-24.115044247787594,-3.6026548672566605
-22.78761061946902,-4.807964601769939
