Re 10 kHz,Im 10 kHz
125.88495575221245,-11.402654867256693
117.47787610619471,2.630973451327378
108.18584070796464,2.468141592920297
109.2920353982301,3.163716814159237
102.212389380531,-2.9079646017699687
102.212389380531,-4.1079646017699645
98.23008849557525,-1.9920353982301435
92.9203539823009,0.7292035398229544
90.92920353982302,-0.5628318584071366
88.71681415929206,1.2460176991149936
87.38938053097348,2.6513274336282677
91.15044247787614,2.5362831858406523
83.84955752212392,1.9654867256636663
78.53982300884957,2.1867256637167642
75.66371681415933,1.5982300884955265
70.13274336283186,2.120353982300834
62.38938053097348,-20.748672566371717
60.17699115044249,-17.139823008849604
61.946902654867245,-13.246902654867299
57.964601769911525,-10.930973451327475
51.10619469026548,-13.203539823008889
50.22123893805312,-17.20000000000004
57.522123893805315,-21.129203539823052
38.716814159292056,-20.253982300884992
40.92920353982302,-16.262831858407125
39.82300884955754,-17.358407079646057
42.477876106194714,-13.3690265486726
44.69026548672568,-12.57787610619473
46.68141592920355,-9.585840707964643
44.026548672566406,-8.375221238938089
38.93805309734515,-9.554867256637209
29.86725663716817,-5.618584070796501
30.30973451327435,-11.62035398230092
37.831858407079665,-12.050442477876146
28.761061946902657,-26.61415929203543
26.991150442477903,-27.307079646017733
25.88495575221242,-28.302654867256663
28.539823008849567,-31.21327433628322
29.86725663716817,-32.1185840707965
35.39823008849558,-32.04070796460181
38.716814159292056,-33.55398230088498
36.50442477876106,-35.545132743362856
32.964601769911525,-41.23097345132747
28.761061946902657,-41.114159292035424
24.336283185840728,-43.796460176991175
30.08849557522123,-42.71946902654871
33.185840707964616,-47.131858407079676
40.92920353982302,-49.362831858407105
42.035398230088504,-43.06725663716817
51.10619469026548,-42.20353982300888
43.584070796460196,-35.873451327433656
44.026548672566406,-33.77522123893809
55.08849557522126,-35.619469026548714
46.68141592920355,-2.5858407079646426
40.70796460176993,-2.5619469026549098
35.84070796460179,-2.5424778761062328
32.07964601769913,-2.2274336283186216
25.88495575221242,-2.202654867256676
28.761061946902657,-0.1141592920354384
30.97345132743365,0.3769911504424428
23.008849557522154,0.008849557522090379
25.22123893805312,1.2999999999999616
20.13274336283189,0.42035398230085264
17.699115044247804,0.23008849557518118
14.159292035398238,0.24424778761058263
14.159292035398238,-1.5557522123894145
