Re 10 kHz,Im 10 kHz
-72,93580136375813,5,9287462938845685
-69,61188220543005,6,916030609783338
-67,88981104006761,5,5652769888331655
-65,87316685832248,5,493131563634353
-53,4920355122689,-44,89028347532236
-52,503411704397465,-19,62766838488473
-51,74775794035645,-31,988756384678624
-49,79924074114392,3,19175312619992
-49,26557290079157,-33,09324517165895
-49,05214307320922,-21,738778344278508
-49,668472022492395,-24,09165378515283
-50,096310139021384,-43,99928302252765
-50,132219626676914,-45,90966776580122
-48,32285816930981,-18,449283561319078
-48,25869903123487,-26,132411823384345
-47,58227712771627,-30,093786423744845
-46,38533274508853,4,622065328077817
-44,896243240916306,2,9489117182521056
-47,444254568566606,-32,73774124386932
-45,26581782509341,-22,419173283905266
-44,51236459978573,-15,577088944461373
-44,07476364600261,-26,78039564768799
-43,09414658898834,-29,675793639797917
-42,829885404832496,5,521532703870989
-42,10532987891048,3,6215290670287317
-42,689920015447925,-16,992573481531764
-42,61187808915113,-24,07584234029067
-40,91865733268216,1,9812691697048024
-40,431022812814604,-22,48590896810662
-40,522552436652816,-14,039611667115885
-39,230904253884034,-4,193220780205657
-40,033237971745905,-27,955102001617206
-37,96170145335144,4,706425739959876
-39,626867922589526,-16,322970353385607
-38,85394835117222,-25,13742398842256
-38,251044870551496,-30,790699805419322
-36,89257807088033,2,1667937499752554
-36,428214486848034,-0,23596991820155466
-36,583451790480936,-22,856499233376752
-35,61312768928404,-2,5270892792817747
-35,3403088544986,-5,049356329857716
-35,94119428126761,-11,325044334838871
-35,753277786260526,-28,292125211058732
-34,15747209445168,5,006503597587454
-34,89981913925759,-15,844416581229737
-34,425637075182195,-24,240005827606744
-34,1051040916207,-27,16116103591122
-34,12472818146553,-13,225030165323602
-34,16948377621988,-30,970266216852778
-32,934141946241695,2,677071455868372
-32,92335549786637,-17,554829004913778
-32,44122924833917,-21,180611893784928
-32,62451782976346,-19,965715834464795
-31,563799100104845,-1,0296120993275437
-31,691786199647836,-3,6335763352721386
-30,46021181389858,1,965651185264214
-31,189226489835306,-5,193205512760116
-32,20522403937885,-10,974959475186353
-30,986936376042564,-30,05079750755077
-30,030156270860687,4,871096141105703
-30,065255340962622,-15,433260481033003
-30,406388000020442,-23,466727655933944
-30,411501484755277,-27,707859966564158
-29,752993467538573,-12,648743384410757
-28,959211034217873,-18,04865700459665
-28,31955344898924,-20,2208602254005
-27,626744154497672,-3,0872468180516606
-27,117036181384904,2,724140088854412
-27,212125174337515,-4,997728994060978
-28,18681246363157,-28,8881788772202
-26,764983295266106,-8,316687366154312
-26,328011984371074,-11,22560044457991
-26,28043415079891,-15,352296343131506
-26,428194296739107,-23,213136107150646
-28,199217559367113,-27,55077897697359
-25,7003796892174,-12,789204726509467
-24,359104621533078,-6,3472784104728674
-24,263612912385753,-18,910386592001714
-22,83502409387374,3,3998416118089025
-22,766728704653005,-3,7461982490817434
-22,618100364193182,-11,691162547551095
-22,079669575563187,-15,325263324697268
-22,379179068072844,-22,303654361339348
-22,426475945628454,-27,034302609520907
-21,294920922092814,-8,44705438612155
-20,57432072951015,-6,396333853748139
-19,767422048552874,-18,98393251922399
-19,80268598041225,-25,265895003065346
-20,171117403250534,-29,88631424773098
-19,36291280324336,-13,105061315428514
-19,6002010654216,2,4837859181468076
-19,680041380832293,-3,7610698550804926
-18,330691860169765,-5,211878446340982
-18,030583840357068,-15,877478370672279
-17,90286612857895,-22,910710673612463
-17,882618986077233,-26,730913685899203
-17,55755130952808,-9,51074531529894
-18,12682390525275,-42,302527085815626
